#Offer	Title	City	URL	Price	PricePerM2	Area	#Rooms	Description
1	3 pokoje na Ligocie bezpośrednio z balkonem	Katowice	https://www.olx.pl/d/oferta/3-pokoje-na-ligocie-bezposrednio-z-balkonem-CID3-IDM78PL.html#537712da81;promoted	284000.0	5795.92	49.0	3	OpisBEZPOŚREDNIO OD WŁAŚCICIELA !  Przedmiotem sprzedaży jest przestronne mieszkanie z oddzielną kuchnią,  - Katowice, Ligota ulica Ligocka 88b - 4 Piętro - W poblżu Lidl, Apteki, oraz inne sklepu ogólnospożywcze - W mieszkaniu jest Gaz - Opłaty Administracyjne około 450 zł - Mieszkanie do remontu  W mieszkaniu znajdziemy trzy   pokoje, oddzielną kuchnię, łazienkę oraz balkon. Budynek, w którym znajduje się mieszkanie jest przed termomodernizacją, klatki schodowe są w bardzo dobrym stanie już po remoncie.Dodatkowo balkon oraz piwnica.Mieszkanie ładne,słoneczne.  Zapraszam do Kontaktu Kasia 50*******40
2	3 pokoje na koszutce widokowe, inwestycja,bezpośrednio	Katowice	https://www.olx.pl/d/oferta/3-pokoje-na-koszutce-widokowe-inwestycja-bezposrednio-CID3-IDM75Wj.html#537712da81;promoted	299000.0	6500.0	46.0	3	OpisOFERTA BEZPOŚREDNIA! BEZ PROWIZJI !  Przedmiotem sprzedaży jest przestronne mieszkanie z oddzielną kuchnią,jasne,słoneczne z pięknym widokiem na panoramę.  - Katowice, Słoneczna 76 - 9 Piętro - W pobliżu Silesia City Center ( 20 min spacerem ) - Spokojna i cicha okolica - Park śląski w pobliżu - Legendia - Blisko do wyjazdu na ul Chorzowską - W mieszkaniu jest Gaz - Opłaty Administracyjne około 350 zł  W mieszkaniu znajdziemy dwa oddzielne pokoje, oddzielną kuchnię oraz łazienkę ibalkon, Wykonując remont możemy uzyskać dwie sypialnie i salon z aneksem kuchennym ponieważ pozwala na to układ mieszkania.Pozostawiając w tym stanie możemy zamieszkać na dwóch pokojach.Klatki schodowe w bardzo dobrym stanie. Ogrzewanie miejskie,dodatkowo piwnica. W okolicy bardzo dużo miejsc parkingowych.  Zapraszam do Kontaktu Kasia 50*******40
3	Mieszkanie 2 lub 3 pokoje Janów bezpośrednio	Katowice	https://www.olx.pl/d/oferta/mieszkanie-2-lub-3-pokoje-janow-bezposrednio-CID3-IDM6l9y.html#537712da81;promoted	229500.0	4683.67	49.0	3	OpisPosiadam do sprzedania ładne duże mieszkanie w bloku po termomodernizacji z odremontowaną klatką schodową na osiedlu Oswobodzenia w Katowicach. Mieszkanie do generalnego remontu położone na 3 piętrze z 4 .Ogrzewanie i woda miejska.Mieszkanie obecnie składa się z dwóch niezależnych pokoi,osobnej kuchni,łazienki i przedpokoju.Dodatkowo garderoba między pokojami .Istnieje możliwość zaaranżowania salonu z aneksem kuchennym oraz dwóch niezależnych sypialni.Dodatkowo balkon oraz piwnica.Miejsca parkingowe pod blokiem. cena 229500zł Wolne od za raz  tel. 50*******40 Oferta prywatna!!!
4	Katowice Giszowiec, mieszkanie niski blok	Katowice	https://www.olx.pl/d/oferta/katowice-giszowiec-mieszkanie-niski-blok-CID3-IDLyde1.html#537712da81;promoted	320000.0	5756.43	55.59	3	OpisOferta bezpośrednio od właściciela.  Umeblowane mieszkanie w cichej i zielonej części osiedla. Trzecie piętro w niskim 4p. bloku. Budynek po termomodernizacji.Trzy pokoje z kuchnią łazienką i przedpokojem oraz dużym (ok. 6 mb) balkonem. Do mieszkania przynależy piwnica z nowymi, metalowymi drzwiami. W kuchni, przedpokoju łazience na podłogach kafle, w pokojach panele. Na ścianach gładzie i tynki strukturalne. Dwie szafy w zabudowie (przedpokój, sypialnia). W tym roku została zamontowana klimatyzacja. Zielona okolica, blisko las, park Bolina, Janina, szkoła, przedszkola, żłobek, sklepy. Stan do odświeżenia, mieszkanie dostępne od połowy grudnia 2021r. Istnieje możliwość wynajęcia garażu. Czynsz około 700 zł plus media. Od pon. do pt. proszę o kontakt po godz. 16.00
5	Katowice Giszowiec, mieszkanie niski blok	Katowice	https://www.olx.pl/d/oferta/katowice-giszowiec-mieszkanie-niski-blok-CID3-IDLyde1.html#537712da81;promoted	320000.0	5756.43	55.59	3	OpisOferta bezpośrednio od właściciela.  Umeblowane mieszkanie w cichej i zielonej części osiedla. Trzecie piętro w niskim 4p. bloku. Budynek po termomodernizacji.Trzy pokoje z kuchnią łazienką i przedpokojem oraz dużym (ok. 6 mb) balkonem. Do mieszkania przynależy piwnica z nowymi, metalowymi drzwiami. W kuchni, przedpokoju łazience na podłogach kafle, w pokojach panele. Na ścianach gładzie i tynki strukturalne. Dwie szafy w zabudowie (przedpokój, sypialnia). W tym roku została zamontowana klimatyzacja. Zielona okolica, blisko las, park Bolina, Janina, szkoła, przedszkola, żłobek, sklepy. Stan do odświeżenia, mieszkanie dostępne od połowy grudnia 2021r. Istnieje możliwość wynajęcia garażu. Czynsz około 700 zł plus media. Od pon. do pt. proszę o kontakt po godz. 16.00
6	3 pokoje na Ligocie bezpośrednio z balkonem	Katowice	https://www.olx.pl/d/oferta/3-pokoje-na-ligocie-bezposrednio-z-balkonem-CID3-IDM78PL.html#537712da81;promoted	284000.0	5795.92	49.0	3	OpisBEZPOŚREDNIO OD WŁAŚCICIELA !  Przedmiotem sprzedaży jest przestronne mieszkanie z oddzielną kuchnią,  - Katowice, Ligota ulica Ligocka 88b - 4 Piętro - W poblżu Lidl, Apteki, oraz inne sklepu ogólnospożywcze - W mieszkaniu jest Gaz - Opłaty Administracyjne około 450 zł - Mieszkanie do remontu  W mieszkaniu znajdziemy trzy   pokoje, oddzielną kuchnię, łazienkę oraz balkon. Budynek, w którym znajduje się mieszkanie jest przed termomodernizacją, klatki schodowe są w bardzo dobrym stanie już po remoncie.Dodatkowo balkon oraz piwnica.Mieszkanie ładne,słoneczne.  Zapraszam do Kontaktu Kasia 50*******40
7	3 pokoje na koszutce widokowe, inwestycja,bezpośrednio	Katowice	https://www.olx.pl/d/oferta/3-pokoje-na-koszutce-widokowe-inwestycja-bezposrednio-CID3-IDM75Wj.html#537712da81;promoted	299000.0	6500.0	46.0	3	OpisOFERTA BEZPOŚREDNIA! BEZ PROWIZJI !  Przedmiotem sprzedaży jest przestronne mieszkanie z oddzielną kuchnią,jasne,słoneczne z pięknym widokiem na panoramę.  - Katowice, Słoneczna 76 - 9 Piętro - W pobliżu Silesia City Center ( 20 min spacerem ) - Spokojna i cicha okolica - Park śląski w pobliżu - Legendia - Blisko do wyjazdu na ul Chorzowską - W mieszkaniu jest Gaz - Opłaty Administracyjne około 350 zł  W mieszkaniu znajdziemy dwa oddzielne pokoje, oddzielną kuchnię oraz łazienkę ibalkon, Wykonując remont możemy uzyskać dwie sypialnie i salon z aneksem kuchennym ponieważ pozwala na to układ mieszkania.Pozostawiając w tym stanie możemy zamieszkać na dwóch pokojach.Klatki schodowe w bardzo dobrym stanie. Ogrzewanie miejskie,dodatkowo piwnica. W okolicy bardzo dużo miejsc parkingowych.  Zapraszam do Kontaktu Kasia 50*******40
8	3 pokoje Koszutka bezpośrednio	Katowice	https://www.olx.pl/d/oferta/3-pokoje-koszutka-bezposrednio-CID3-IDM75oc.html#537712da81	299000.0	6500.0	46.0	3	OpisOFERTA BEZPOŚREDNIA! BEZ PROWIZJI !  Przedmiotem sprzedaży jest przestronne mieszkanie z oddzielną kuchnią,bardzo jasne,słoneczne z pięknym widokiem z balkonu.Okna wychodzą na dwie strony.  - Katowice, Słoneczna 76 - 9 Piętro - W pobliżu Silesia City Center ( 20 min spacerem ) - Spokojna i cicha okolica - Park śląski w pobliżu - Legendia - Blisko do wyjazdu na ul Chorzowską - W mieszkaniu jest Gaz - Opłaty Administracyjne około 350 zł  W mieszkaniu znajdziemy dwa oddzielne pokoje, oddzielną kuchnię oraz łazienkę, balkon.Mieszkanie nadaje się do zamieszkania jednak po remoncie uzyskamy dwa niezależne pokoje oraz aneks kuchenny w salonie. Klatki schodowe w bardzo dobrym stanie. W okolicy bardzo dużo miejsc parkingowych.  Zapraszam do Kontaktu Kasia 50*******40
9	Mieszkanie 2 lub 3 pokoje Janów bezpośrednio	Katowice	https://www.olx.pl/d/oferta/mieszkanie-2-lub-3-pokoje-janow-bezposrednio-CID3-IDM6l9y.html#537712da81;promoted	229500.0	4683.67	49.0	3	OpisPosiadam do sprzedania ładne duże mieszkanie w bloku po termomodernizacji z odremontowaną klatką schodową na osiedlu Oswobodzenia w Katowicach. Mieszkanie do generalnego remontu położone na 3 piętrze z 4 .Ogrzewanie i woda miejska.Mieszkanie obecnie składa się z dwóch niezależnych pokoi,osobnej kuchni,łazienki i przedpokoju.Dodatkowo garderoba między pokojami .Istnieje możliwość zaaranżowania salonu z aneksem kuchennym oraz dwóch niezależnych sypialni.Dodatkowo balkon oraz piwnica.Miejsca parkingowe pod blokiem. cena 229500zł Wolne od za raz  tel. 50*******40 Oferta prywatna!!!
10	Gotowiec inwestycyjny z potencjałem! • 4 pokoje • Gliwicka •	Katowice	https://www.olx.pl/d/oferta/gotowiec-inwestycyjny-z-potencjalem-4-pokoje-gliwicka-CID3-IDJYZSt.html#537712da81	275000.0	4365.08	63.0	4	OpisOFERTA NA WYŁĄCZNOŚĆ.  • Gotowiec Inwestycyjny 10 minut od Centrum Katowic - Gliwicka 229  Oferujemy Państwu mieszkanie inwestycyjne w kamienicy położonej przy ul. Gliwickiej w Katowicach w sąsiedztwie A4 oraz DTŚ z doskonałym 10 minutowym dojazdem do centrum stworzone z myślą o uzyskiwaniu dochodu pasywnego i z sukcesem wynajmowane od 3 lat.  • MIESZKANIE Mieszkanie usytuowane jest na drugim piętrze. Aktualnie na powierzchnię 63 mkw składają 4 pokoje jednoosobowe, kuchnia, dwa przedpokoje, łazienka z wc. Do mieszkania przynależy piwnica. Do dyspozycji mieszkańców dostępne są miejsca liczne parkingowe od strony podwórza  Stan prawny: pełna własność z KW  • REMONT Nieruchomość została wyremontowana 3 lata temu, wyposażona oraz umeblowana w niezbędne sprzęty AGD. Ogrzewanie z zastosowaniem elektrycznych paneli na podczerwień. Każdy pokój posiada podlicznik prądu.  CENA: 275000 zł, do negocjacji  Zachęcamy do obejrzenia i składania swoich propozycji cenowych!  Kontakt: 73*****50 Kinga Łapuszek  Na życzenie klienta udzielamy pomocy w uzyskaniu kredytu hipotecznego.  Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.  _
